line,label
"after circling once round them, he dropped to the earth, all four hoofs together,",1
"But though Digory could no longer hear the Lion, he could see it. It was so big and",1
17,0
"and stronger. She hated it. She would have smashed that whole world, or all",1
"""You see well,"" said the Lion. ""Now the land of Narnia ends where the waterfall",1
"give me some magic fruit of this country to make Mother well?""",1
"both got different answers to it at first, and even when they agreed I am not sure",1
"""Then we could get the length of the whole row of houses.""",1
139,0
76,0
"""But I don't expect it's really empty at all,"" said Digory.",1
"they had drunk their fill. They had had rebellious thoughts.""",1
with things he did not really understand; most magicians are. Of course Digory did,1
"voices, low or high or thick or clear, replied:",1
"passed them again, and continued its march eastward.",1
"""But the people?"" gasped Digory.",1
"""Tree! Tree!"" said a dozen voices.",1
Digory said:,1
"""No you haven't, said she. ""I've just seen you come up out of that pool.""",1
"I'm terribly shaken. If someone could give me a small glass of brandy—""",1
"""What do you mean?"" asked Digory.",1
In Narnia the Beasts lived in great peace and joy and neither the Witch nor any,1
"loud voice, ""No fear!"" and everyone else had finished just before he said it so that",1
"weary of looking down upon that world. To the left of the sun, and higher up, there",1
sovereigns which had fallen out of Uncle Andrew's pocket when he was turned,1
the window. It was one of those houses that get very quiet and dull in the,1
"""That is well,"" said Aslan. ""And now for the Boy himself.""",1
3,0
"""Now's my chance,"" thought Digory. He darted between the horse and the railings",1
"""No, but people will get there,"" said Digory. ""And then they'll have histories, you",1
"In my state of health too. A very old Dorsetshire family.""",1
"solid.""",1
"""Certainly, Madam,"" said Uncle Andrew cunningly. ""I must have both the children",1
"corner or just behind some door, would come back and make them sure, deep",1
and of course Digory couldn't go without her. Digory got very red in the face and,1
are yours also. Treat them gently and cherish them but do not go back to their,1
mentioned it either then or afterwards. I think (and Digory thinks too) that her mind,1
"close. Digory knew that he couldn't possibly break in on so solemn a meeting, but",1
"""It's a fair treat, sir,"" said the Cabby.",1
"stronger. Then she will fall asleep—think of that; hours of sweet natural sleep,",1
her right arm and wrenched off one of the cross-bars of the lamp-post. If she had,1
they didn't let go.,1
Narnia and into the Western Wild. You must journey through those mountains till,1
Then he seemed to change his mind.,1
"""Well, his brains perhaps,"" she replied mildly.",1
"""We 'ad our living to earn, see,"" said the Cabby. ""Yours the same as mine. And if",1
"forwards, was going on. What was rather alarming was that at each turn he came",1
The Chronicles of Narnia 1 - The Magicians Nephew,0
"by now). As soon as his legs were free he tried to bolt, but one swift curl of the",1
49,0
the Queen's. Their heads were bare; but Helen had let her hair down and it made,1
whatever is usual for royal and noble persons in your land. Then bring me to,1
experiment? The whole point of sending anyone into the Other Place is that I want,1
94,0
"the place had been deserted for hundreds, perhaps thousands, of years.",1
"for a thunderstorm; or an eclipse.""",1
"beastly copy-cat.""",1
"making a noise your Mother'll hear it. And you know what a fright might do to her.""",1
it.,1
"way, she understood the music better than any of them. Her mouth was shut, her",1
"and could not attend to ""poor old Brandy"". What with the nuts, pears, apples, and",1
"""WAKE up, Digory, wake up, Fledge,"" came the voice of Polly. ""It has turned into a",1
understand them. If only Digory had remembered what he himself had said a few,1
would slip off their greens and put on their yellows. Digory wanted to be the one,1
92,0
"""Oh, you heard that, did you? I hope you haven't been spying on me?""",1
mad; and there was certainly something strangely attractive about those bright,1
Before Digory had recovered his breath a good many other things began to,1
127,0
"and rose, till all the air was shaking with it. And just as it swelled to the mightiest",1
a nine-pin.,1
"""Ah, poor woman,"" said Uncle Andrew. ""She had been very unwise. There were a",1
"child, a common child. Anyone can see at a glance that you have no drop of royal",1
"""I'm not touching you!"" said Digory.",1
"""WELL done,"" said Aslan in a voice that made the earth shake. Then Digory knew",1
"""That's better,"" said Uncle Andrew. ""Perhaps you couldn't help it. It is a shock",1
"anything very funny about them."" It yawned and went on with its wash.",1
"""It's a reason of State,"" said Polly spitefully. ""Like when you killed all those people",1
have plucked fruit in the garden yonder. You have it in your pocket now. And you,1
"swift river wound its way, flowing eastward towards the sun. Southward there were",1
"upside down; just as the silver had grown up from the half-crowns. From nowhere,",1
The Chronicles of Narnia 1 - The Magicians Nephew,0
152,0
"but not quite, as if she were just between sleeping and waking. So he looked at",1
"the other. They took hands and said ""One—Two—Three—Go"" and jumped. There",1
"""Now, sir,"" said the Bulldog in his business-like way, ""are you animal, vegetable,",1
"brown and showed up well against the green. ""It's a good thing one of us has",1
alarming than he had ever looked before. Polly was not so frightened yet; but she,1
That was where the Witch made her fatal mistake. Of course Digory knew that,1
Polly and Digory got to work on the toffee-tree. The fruit was delicious; not exactly,1
the house was-open and the housemaid was standing in the doorway staring at,1
"a place called Charn and she just held on to us when—""",1
anything. There might be fruit in some other world that would really cure his,1
"and cruel empire like Charn, not the kindly land I mean it to be. And the Witch",1
"""Look!""",1
"flaming with anger now. ""And all I can say,"" he added, ""even if you are my Uncle—",1
"cab what she's made matchwood of.""",1
The Chronicles of Narnia 1 - The Magicians Nephew,0
She paused for a moment to look once more at the deserted city—and if she was,1
"hind-legs were on the footpath. She had a long, bright knife in her hand and had",1
speak: yet it was a lovely and terrible shock when he did.,1
you can read of in other books.,1
71,0
The Chronicles of Narnia 1 - The Magicians Nephew,0
"a tree that she will not dare to approach, and that tree will protect Narnia from her",1
"""It is silent now. But I have stood here when the whole air was full of the noises of",1
"rubbing his hands and looking, to tell the truth, extremely frightened. He seemed a",1
"we are not out of it in a few minutes we shall be buried under the ruin."" She spoke",1
the green rings is stuff that is trying to get out of its own place: so that a green ring,1
"hadn't dared to say anything all through the argument because, you see, it wasn't",1
"was how Digory felt. But it was no good trying to throttle this hope. It might really,",1
"whole world or only of part?""",1
"given me a black eye too, what's more.""",1
"you took her there and however long you left her there, she would still know",1
"Lightly, easily, as if it were the most ordinary thing in the world, she stretched up",1
"top of the pillar ought to have been hung there with nothing to support it. Clearly,",1
with closed eyes and began breathing peacefully.,1
"not discover the magic properties of that wardrobe, someone else did. That was",1
"apparently been in the middle of a washing day, for she wore an apron, her",1
It seemed in the end that the only thing he could do was to wait and hope that,1
"there 'adn't been no work and no whip there'd 'ave been no stable, no hay, no",1
"heights, one of them looking rosered in the reflections of the sunset, towered",1
Polly began to think he might not really be mad after all.,1
mouse's hole; he dared not leave his post for a moment. So he went into the,1
the dangers (as far as one can) to other people. Nothing at all like this had ever,1
The Chronicles of Narnia 1 - The Magicians Nephew,0
"said, ""yours is a younger world.""",1
could get no glimpse of the sky. All the light was green light that came through the,1
The Cabby swallowed hard two or three times and cleared his throat.,1
(but it sounded horrid) and made an action as if she were throwing something,1
bear apples that would revive a dying woman as Digory's Mother had been,1
"planets, brighter and bigger than any in our world. There were no clouds. The new",1
124,0
greatgrandfather bade seven hundred nobles to a feast and killed them all before,1
and already she begins to know it. All get what they want; they do not always like,1
"have been empty so long. So was Polly. Neither of them said the word ""haunted"".",1
"""Child,"" he replied, ""that is why all the rest are now a horror to her. That is what",1
"was a duchess and the other was a charwoman.) In fact, Digory, you are now",1
"bananas that had been thrown in to him, he did fairly well for supper; but it",1
"""I've just had a really wonderful idea,"" said Digory. ""What are all the other pools?""",1
We must now go back to Uncle Andrew. His poor old heart went pit-a-pat as he,1
"gone some time. If there are any dangers Over There—well, it would be a pity to",1
"tiresome.""",1
51,0
"exactly royal, Ma'am. The Ketterleys are, however, a very old family. An old",1
turned to Polly) are welcome. Have you forgiven the Boy for the violence he did,1
"as Digory knew, the thing in the whole world that she wanted most. And he was",1
listened to his song you heard the things he was making up: when you looked,1
that they could not have heard one another even by shouting. And still it grew: all,1
"""Well, it's a jolly good thing they haven't now,"" said Polly. ""Because nobody can be",1
Strawberry did the most natural thing in the world. Being very thirsty (and no,1
