line,label
"Grover looked up at me hopelessly, raising his hands. He was letting me",1
“Not who. What. The Oracle. I’ll ask Chiron.”,1
"understand? And Perseus Jackson, if you’re at all smart, you’ll see that’s a",1
"“Well, then,” Chiron said. “Good luck, Percy. I’ll see you at dinner.”",1
"“Clothes,” Annabeth said. “Fresh clothes.”",1
that could’ve been a thousand years old and had seen everything.,1
"hat. Otherwise they looked exactly like Mrs. Dodds—same gnarled hands,",1
restrained.,1
stirring inside—stop reading immediately. You might be one of us. And once,1
"silver, long-bladed, like shears. I heard Grover catch his breath.",1
"“That’s what he intends, Father. That’s what he said.”",1
"“That’s Mr. D,” Grover murmured to me. “He’s the camp director. Be",1
The Son of Neptune: The Graphic Novel,0
"“Zeus, Poseidon, Hades.”",1
by your friends in cabin five. Here—Chiron thought these would fit. You’ll,1
"I ran toward them, knowing I had to stop them from killing each other,",1
He looked down.,1
he didn’t. I wondered if the story had anything to do with how he got his scar.,1
the picnic table being way too small for a centaur.,1
darkness….,0
I wasn’t sure about that. I thought maybe Annabeth and I had both had,1
He patted her reassuringly on the shoulder and led her over to the Safari,1
I searched the back of the warehouse until I found Medusa’s office. Her,1
The other campers steered clear of me as much as possible. Cabin eleven,1
"“I guess that means entrez-vous,” Annabeth said.",1
"well, Perseus. Do not misunderstand me. Whatever else you do, know that",1
The Serpent’s Shadow,0
your Diet Coke can?”,1
What I did next was so impulsive and dangerous I should’ve been named,1
"on vacation, and we’d stopped here at this big house for some reason. And…",1
"collar. I tried to regain my balance, but I was so worried about defending",1
"A little girl said, “Mama! That boy walked out of the river.”",1
"Even Clarisse kept her distance, though her venomous looks made it clear",1
a little distant. I was afraid he might resent me for all the attention I’d gotten.,1
"“You were the satyr who tried to rescue Thalia, the daughter of Zeus.”",1
"hundreds of video games, each one the size of a widescreen TV. Basically,",1
"forward. “Or maybe you only fight when there’s a river to dive into, so your",1
"can see, is very serious. We’re trying to get to some of the survivors, to",1
that when you’re about to…when someone’s about to die.”,1
that?”,1
I’m not sure I’d ever felt as happy or sad as I did at that moment. I’d,1
"“So let me get this straight,” I said. “I’m supposed go to the Underworld",1
5. I Play Pinochle with a Horse,0
We did.,1
been replaced by a long black robe. His tortoiseshell glasses were gone.,1
"I was back in the dark cavern, spirits of the dead drifting around me.",1
He frowned at me. “In the game?”,1
His throne was a deep-sea fisherman’s chair. It was the simple swiveling,1
"I wanted to protest, but he started to play Mozart, soft and sweet, and I",1
butt.”,1
"“Good luck,” I told the animals. The antelope and the lion burst out of",1
The Red Pyramid,0
"“I’m afraid not, sir,” he said.",1
We ran after him.,1
would not be wise for you.”,1
"“No,” he said. “It never rains here unless we want it to.”",1
Zeus has demanded that Poseidon return the bolt by the summer solstice.,1
"Zeus did indeed feed Kronos a mixture of mustard and wine, which made",1
and now she sat forward and interlaced her fingers and watched us eat. It was,1
explain…as much as I can.”,1
I didn’t want to leave. I felt full and content. Aunty Em was so nice. I,1
nose. “I wish I hauled appliances.” He climbed inside and poured some water,1
“And you found me. Chiron said you thought I might be something,1
about eleven feet long.,1
"the car. He was surprisingly light, but I couldn’t have carried him very far if",1
I looked over at Grover to say something about this and saw that the,1
"commercial break, or if our ratings had been any good.",1
"“I thought she was married to somebody,” I said.",1
"But at the moment, the Underworld wasn’t my biggest problem.",1
that was too big to be his head…was his head. And the points that looked like,1
been born. We have watched you with great interest.”,1
ready to charge. I thought about how he had squeezed the life out of my,1
"“He wants to kill…I mean, I’d better let him tell you.”",1
"into the Land of the Dead, but my heart wasn’t in it. There were just too",1
drachmas and let the coins spill through my fingers.,1
"Afterward, my mom had been adamant: We’re staying away from your",0
"“The Red Baron,” I said. “Good job, man.”",1
"In all, there were maybe a hundred campers, a few dozen satyrs, and a",1
"behind us. “Not exactly,” he said. “I mean, we’ve never met in person. But",1
ball bouncing around over the crowd. Something tragic has happened,1
see the zebra galloping down a wide boulevard lined with hotels and casinos,1
"“We were tricked,” I told them. “Set up.”",1
"“Wait a minute,” I said. “Your first keeper job was five years ago.",1
"admitted I’d feel bad about leaving her alone, though, with only Clarisse for",1
had to leave before you were born.”,1
"shadow of something much taller than my wheelchair-bound teacher, holding",1
cheers. The red banner shimmered and turned to silver. The boar and spear,1
"“Good boy,” Annabeth said, but her voice sounded melancholy and",1
backward into a seat. I turned and sliced the Fury on the right. As soon as the,1
We were on a stretch of country road—no place you’d notice if you,1
Charon made a growling sound deep in his throat.,1
"Thanks to my elder son, Haley Michael, who heard the story first; my",0
on me. His black eyes glowed with hate. He reeked like rotten meat.,1
"He handed me the sneakers, which looked pretty normal. They even",1
I made my decision.,1
once been a beautiful lady.,1
barely stand up.,1
three worst monsters from the Underworld. No problem. No problem. We’ll,1
could imagine him as an old man.,1
"“Of course he will,” my mom said evenly. “Your stepfather is just",1
"suggested. “Like, Elysium, for instance…”",1
"Water exploded out of the pipes. It roared into the pool, sweeping away",1
"She hesitated…hesitated…then yelled, “Now!”",1
"“I’ve got training to do,” Annabeth said flatly. “Dinner’s at seven-thirty.",1
"The guy on the left threw in two poker chips, then said: You shall be",1
against the gates.,1
"seen over the city. I figured maybe it was global warming or something,",1
"Medusa was about to lunge at him when I yelled, “Hey!”",1
ACCIDENT,1
"I wasn’t expecting anybody to be looking back at me from the bottom, so",1
“Silence!” Medusa snarled. Then her voice modulated back to a,1
step forward in super-ugly neorealism.”,1
"away, the eye on the back of his hand opening to watch us as he pulled out of",1
toddler hands.,1
"“Take care, Seaweed Brain,” Annabeth told me. “Keep your eyes open.”",1
"Grover’s lower lip quivered. I was afraid he would start bleating, or",1
bench with half my butt hanging off.,1
police line.,1
"“There, officer!” somebody yelled. “See?”",1
"Luke yelled, “Eleven, fall in!”",1
The war god was waiting for us in the diner parking lot.,1
better. This one led down toward a small valley surrounded by walls—a,1
"I said, “I don’t want your lousy—”",1
it zigzagged like a lightning bolt. “They’re handing out flyers with your name,0
"tighter. I grabbed the fin with both hands. It took off, pulling me along. The",1
Crooked One. But was it really necessary? I could have brought you what I,1
"a limp, scaly rope I’d somehow managed to strangle to death with my meaty",1
"I stumbled to the creek and submerged my hand, but nothing seemed to",1
Why did she put up with this guy? I wanted to scream. Why did she care,1
"wide. “Where to in Los Angeles…uh, Your Highness?”",1
"to suggest why Grover was dutifully minding his cards, chewing his soda",1
serious New Jersey bus accident three days ago. And the boy is believed to be,1
"Annabeth had stopped eating. She sat forward and said, “Two sisters?”",1
"I shouted, “Wave!”",1
“Percy!” Grover yelled.,1
“What?”,1
"“Not at all, dear. I have such noble company tonight. What could be wrong?”",1
makes her sad. She has no pictures.,1
"I don’t recommend), you’d never know there was anything unhuman about",1
voice sounded so deep and so real that I couldn’t help feeling sorry for her.,1
"I heard a clopping sound at the door, a hoof knocking on the threshold.",1
"the gods and goddesses in the present tense, which was kind of weird. I",1
Annabeth.,1
I munched my cookie and thought about how to answer. The conversation,1
rolling texture of the bottom. I could make out sand-dollar colonies dotting,1
"food, shade, whatever they need until they find a safe place to live.”",1
in a shower of sparks for about half a mile before coming to a stop. The gas,1
"there to mark it as my own, no luggage, no clothes, no sleeping bag. Just the",1
"“What you learn from me,” he said, “is vitally important. I expect you to",1
flyer with my picture on it: HAVE YOU SEEN THIS BOY?,1
"As we got closer to Montauk, she seemed to grow younger, years of",1
"“Luke, what—”",1
My name is Percy Jackson.,1
staff will be enough to convince him of that.”,1
The Demigod Diaries,0
"“I sense the boy tells the truth,” Zeus muttered. “But that Ares would do",1
faces. I was thinking you’d have to have a pretty huge garden to fit even one,1
was going to come looking for you.,1
told me Mrs. Dodds was not yet dead.,1
"“Percy Jackson, you will not—”",1
thought you were the one.”,1
"I said, “Looking for Kindly Ones?”",1
"boys, arm wrestling and arguing with each other while rock music blared.",1
"“Me, go with you to the…the ‘Thrill Ride of Love’? How embarrassing is",1
"paisley handbags, wrinkled velvet dresses. Triplet demon grandmothers.",1
been a twelfth-birthday present from her mom. She carried a book on famous,1
“We need the boy to mature more.”,1
"long, or to wonder how three kids in street clothes had gotten out into the",1
It came out louder than I meant it to.,1
"As Apollo’s cabin led the sing-along and passed out s’mores, I was",1
"“Oh, you don’t know the half of it. How would you like to babysit these",1
TWENTY ONE,0
All conversation in the diner stopped. The motorcycle’s headlight glared,1
something?”,1
"looked like a shotgun, sometimes a two-handed sword. I didn’t know what",1
I swallowed back my anger and told her my own story. I tried to make it,1
slung the backpack over my shoulder. I knew my anger was being caused by,1
So naturally I tripped coming in the door and made a total fool of myself.,1
"“Yes, quite. Someone who harbors a grudge, who has been unhappy with",1
"“If Poseidon doesn’t have it, where is the thing?”",1
Three?”,1
“You sure you can handle the news?” He kick-started his motorcycle.,1
"“Of course,” Hades said.",1
"“But they’re stories,” I said. “They’re—myths, to explain lightning and",1
"Our rental cabin was on the south shore, way out at the tip of Long Island. It",1
"“Percy, that’s a gift from your father. I’ve kept it for years, not knowing",1
"After lessons, she would walk away muttering to herself: “Quest…",1
myself.,1
"will never willingly let you leave. Keep faith. Good luck, Percy Jackson.”",1
as if that made him handsome or something.,1
"the earth, exploring all the wildest places, hoping to find where he is hidden,",1
"“Whoa,” I said. “We’re really supposed to use these?”",1
bag.,1
the tips.,1
abandoned me. But Luke insisted.,1
"Grover and I were about to follow when Mr. Brunner said, “Mr.",1
"Glancing back, I got my first clear look at the monster. He was seven feet",1
Grover and I looked at each other and grinned. We both held up our green,1
anything?”,1
"His neck was a mass of muscle and fur leading up to his enormous head,",1
"I yelled, Stop it! Stop fighting!",1
"There he was, waiting for us, in his black leather duster and his",1
"“East One-hundred-and-fourth and First,” I told the driver.",1
"I’m twelve years old. Until a few months ago, I was a boarding student at",1
"turned, I slashed at its neck.",1
“You’ve been to Olympus?”,1
"Only one store on the block looked open, its windows glaring with neon.",1
Mr. Brunner had taken the class.,1
rural roads where you can’t believe there’s so much nothing right across the,1
"According to Gladiola, the westbound train leaves at noon.”",1
"“Thanks, that makes me feel a lot better,” I said. “Got any blue jelly",1
anyway.”,1
"I had trouble following her example, with Grover snoring and an albino",1
and everybody fell silent. He raised a glass. “To the gods!”,1
luck. We should try the youth shelter across the park.”,0
"tending the flames, poking the coals with a stick.",1
worry and work disappearing from her face. Her eyes turned the color of the,1
"wickedly pointed. I tried not to imagine they’d fall on us at any moment, but",1
"When we left, I could just charge a new one at the hotel store.",1
"“Your nose is clogged up from the Furies,” Annabeth told him. “All I",1
Luke given you your job?”,1
if they’d just finished an argument.,1
"Annabeth said, “I’m afraid we’ll have to find out.”",1
dyslexia: KINDNESS INTERNATIONAL: HUMANE ZOO TRANSPORT. WARNING: LIVE,1
“She’s not dead.”,1
fire escape…there couldn’t have been anyone out there.,1
“But…”,1
"I stepped back toward the surf, forcing him to follow.",1
I realized Hades must’ve built his palace to resemble this one. He wasn’t,1
awkward hug and looked back at the valley one last time. She touched,1
new talent!” DOA’s address was right underneath with a map.,1
"bed you like, huh?”",1
thought he was some Elvis impersonator’s son. He wore bell-bottom jeans,1
thought my dyslexia was acting up. Then I realized the title wasn’t even,1
"“But how…I mean, I guess you weren’t born in a hospital.…”",1
The thought of the Furies made me shudder. I realized I was in their home,1
"He outmaneuvered me, pressing so hard I had to put all my concentration on",1
here longer than just about anybody. And you already know Chiron.…”,1
I knew there was no choice but to fly. I hoped Zeus would cut me some,1
“Hey!” a bellhop said. At least I guessed he was a bellhop. He wore a,1
“Same age as when I started camp. Seven.”,1
"I stared at the Cokes, wondering where the heck he’d gotten them. There",1
He grinned. “You’ll see. First we have to get one.”,1
"“Thirty, twenty-nine,” called the loudspeaker.",1
sense of it because one or two letters were floating around. The more I,1
I waved the stick. The dog’s middle head followed the movement. The,1
"Grover stretched. Before he was even fully awake, he said, “Food.”",1
"On the last day of the term, I shoved my clothes into my suitcase.",1
"was, make a phone appear?",1
Then the weirdest thing happened. Her eyes began to glow like barbecue,1
Mr. Brunner was this middle-aged guy in a motorized wheelchair. He had,1
"If she was looking for me, I did not want to be found. She was scary.",0
"“The plan,” Grover gulped. “Yeah. I love the plan.”",1
camp send-off by your typical centaur.,1
"On the other side was a closed-down gas station, a tattered billboard for a",1
"“Ma’am, I don’t…”",1
"Somebody knocked on the door, and the girl quickly filled my mouth",1
satyr. You know”—he pointed to the horn in the shoe box—“that you have,1
"I said, “But—”",1
"small for him, and crowded Annabeth against the window.",1
yourself.”,1
His face twitched around the scar. “Let’s just say I messed things up for,1
"“Fine,” he said. “Just great.”",1
"“Uh, thanks.” I scooted a little farther away from him because, if there",1
"arrows, arcing over the pool and anchoring where they landed to form a huge",1
Grover wore his fake feet and his pants to pass as human. He wore a,1
"There were some snickers from the campers, but none of them said anything.",1
"The biker said, “It’s on me.” He slid into our booth, which was way too",1
"the apple off her knee, her elbow, her shoulder, whatever. I wasn’t too bad",1
“Keeping me near you? But—”,1
monstrous allies driven to the farthest corners of the earth. And yet Titans,1
Grover was a satyr. I was ready to bet that if I shaved his curly brown,1
"“Randolph is sure,” said Uncle Frederick. “Magnus is alive. He’s",0
That wasn’t the right thing to say.,1
The game was over. We’d won.,1
out of New York and we’re stuck here with no money and no way west.”,1
“Something a god doesn’t have time to do himself. It’s nothing much. I,1
"“Don’t look at me,” she said. “The dining car wiped me out.”",1
"“Really bad,” Grover added helpfully.",1
"Chiron smiled at me, but he looked tired and strained. “Sit, Percy, please.",1
"“He’ll get a second chance, won’t he?”",1
"and over, and now they wanted to sacrifice their lives for my mom.",1
see Annabeth wipe a tear from her cheek as she listened to the mournful,1
“Doesn’t it ever get boring?”,1
"weapon made by the Cyclopes for the war against the Titans, the bolt that",1
Poor little Percy Jackson wasn’t an international criminal after all. He’d,1
"Thalia’s pine tree, then allowed herself to be led over the crest and into the",1
"I cannot stay, brave one, the woman said. She reached out, and I felt the",1
palace of Hades.,1
those Latin verbs? Forget it.,1
The Staff of Serapis,0
familiar.,1
"I’d used to fight the Minotaur, but it just wasn’t there.",1
"Of course, the magic dinner goblets would fill with anything you want,",1
noises of monsters in the woods at night. I would eat dinner with cabin,1
“Easily?”,1
"“Call off the bug,” I said. “If you’re so strong, fight me yourself.”",1
"“Guys,” I said. “You know the gods’ symbols of power?”",1
face made him look almost evil in the torchlight. “We’ve made a temporary,1
I said all he had to do was hide the items away for a while and watch the,1
"Where his eyes should’ve been were empty sockets—like Ares’s eyes, except",1
they came after us on the bus. Maybe they thought we had retrieved the bolt.”,1
"I figured as soon as they were through being amused, I would die. But then",1
"herbivore, he looked downright murderous.",1
"“Snack bar,” she agreed.",1
little nap at Hades’s feet. Curl up here and sleep forever.,1
I couldn’t think of an answer for that. Fortunately I didn’t have to.,1
with lava-red eyes and fangs like daggers.,1
"Cyclopes build an arsenal of illegal copies, which might be used to topple",1
Chiron’s expression darkened.,1
"He glanced at Annabeth. “Oh, and, my dear…whenever you’re ready,",1
with one stop in Vegas.”,1
almost lifting me off my feet. Ares raised his sword. I released the tide and,1
"possible, surely there was some way to save her, to bring her back.…",1
"This trip, I was determined to be good.",1
undertook into the darkest part of the Underworld to stop a war!”,1
somebody who’d seen his Barbara Walters interview.,1
"“There’s an outside chance they might not notice us,” Annabeth said.",1
“Charon.”,1
before it eats you.,1
"were three of the most pathetic zoo animals I’d ever beheld: a zebra, a male",1
die?”,1
"and daughters to find the stolen bolt—Artemis, Apollo, my father, Hermes.",1
before any of the other passengers noticed.,1
"will be exposed as Poseidon’s thief, and I will have my helm back!”",1
"I thought about my dream—the whispering voices of the dead, the thing",1
dad.,1
"your time. Therefore take these, and when you are in need, smash a pearl at",1
"He escorted us into the elevator, which was already crowded with souls of",1
Wait a minute.,1
“Cream the punk!” Clarisse screamed.,1
He expected me to have the right answer.,1
I woke with a start.,1
"camp, and the nymphs stirred from their trees.",1
"Grover looked as if I’d just led him into a trap. “I didn’t…Oh, listen,",1
cooking.,1
"She’s got a few gray streaks mixed in with her long brown hair, but I never",1
"“We understand,” Annabeth said. “You got enough tin cans for the trip?”",1
"Charon’s were totally dark, full of night and death and despair.",1
"pale. Grover made gurgling sounds, like a strangled goose.",1
"ruins of my shredded armor. My chest felt warm and wet, and I knew I was",1
"For the first time, I realized something. Gabe had hit my mother. I didn’t",1
Grover and I exchanged looks.,1
"I couldn’t let them get hurt. I uncapped my sword, ran to the other side of",1
same goat-blessing he’d used for the zebra.,1
"him in the EZ DEATH line. The spirits made muffled hisses as they dissipated,",1
about where Aunty Em’s head would be.,1
"rose up all around the pool, blinding us with illumination, and a loudspeaker",1
"The last thing I remember is collapsing on a wooden porch, looking up at",1
“Lord Zeus has closed discussion on this matter. He will not allow talk of,1
"He said, “You saw her snip the cord.”",1
“What? Are you crazy? Let’s get out of here.”,1
"“Let’s get back to the problem at hand, kid. You’re alive. I can’t have you",1
darkened farmhouses and wooded hills and PICK YOUR OWN STRAWBERRIES,1
"have an even bigger head. Well, huzzah for that. In other announcements,",1
"“That’s him. Messengers. Medicine. Travelers, merchants, thieves.",1
“She likes bikers.”,1
Gabe softened a bit. “So this money for your trip…it comes out of your,1
Electricity. Her stupid spear was electric. I fell back.,1
"No, I could still feel the racing sensation. We were going up, right",1
"“Wait,” I told Chiron. “You’re telling me there’s such a thing as God.”",1
"Without his even realizing it, the wings sprouted out of his shoes and",1
"surrounded by rolling hills, and the tallest one, directly in front of us, was the",1
“Just…tired.”,1
"“Oh, Styx!” he mumbled.",1
been taking siestas in their nice cool caves.,1
"I thought he was grinning, but that wasn’t it. The flesh of his face was",1
"or monstrous elements mix with the mortal world, they generate Mist, which",1
welt on his forehead. His green rasta cap hung from one of his little goat,1
"Oh, man, that was tempting. We were always struggling with money.",1
"“Not sure.” Blitz rubbed his nose, which had been broken so many times",0
who told me it was 1985. Another guy told me it was 1993. They all claimed,1
“Run!” I screamed at Annabeth and Grover.,1
He dodged another piece of Nancy’s lunch.,1
"him hungry. “Well…if I couldn’t find it, you got no hope. Nevertheless, I’m",1
"out of the woods—and when I say out of the woods, I mean straight out of",1
"He said his name was Darrin, but as soon as I started asking him",1
“What?”,1
"stepfather again. Every time I saw him on TV, calling me a delinquent punk,",1
I tried to swallow my embarrassment. “What does that have to do with,1
kid.”,1
I hit the dirt.,1
"I knew somebody at camp resented me, because one night I came into my",1
Grover was sitting cross-legged on a blanket with something fuzzy in his,1
“Big bathtub.” Charon looked mildly impressed. “I don’t suppose you,1
"something about vegetables, and turned his head.",1
"I’m afraid, but listen…it had to be Hades who took the master bolt. He was",1
"greenish light. “Bad luck for you, godlings.”",1
shouldn’t even think about finding the wolf-headed gates.,0
"looking, exactly. More like snuffling, nuzzling. I wasn’t sure why he",1
"Annabeth said, “How did you…”",1
"long ago, but I did have a fuzzy memory of there being another Latin teacher",1
"“You wouldn’t harm an old woman, Percy,” she crooned. “I know you",1
here.”,1
"for me to approach. I came toward them, my legs trembling.",1
much do you remember?”,1
"Grover is one. The other has already volunteered, if you will accept her help.”",1
wasn’t the time.,1
“You can talk to animals?”,1
I opened my eyes.,1
comment. “Just the Lord of the Dead and a few of his blood-thirstiest,1
The Hermes guys gathered around. They were suppressing smiles. I,1
“He’s not here!” Annabeth yelled. “He’s gone!”,1
the sound of that old fruit lady’s shears snipping the yarn.,1
"“Mr. Jackson,” he said, “did you have a comment?”",1
"when he was around. It worked best with wine grapes, but Mr. D was",1
“Mr. D—” Chiron warned.,1
feeling they were waiting for us.,1
“Well done.” He sat back. “I hate being confused with that old horse-,1
was the sound of three Furies smashing against the windows.,1
was anxious to pursue his dream. Perhaps now he will find some other career.,1
His eyes got wide. “No! That’s not what I meant. I just…wondered.”,1
"“Which you already possess!” Hades shouted. “You came here with it,",1
"I probably should have let it go, but I said, “You want to gargle with toilet",1
"was a lady’s silk scarf. I tried to imagine Ares and Aphrodite here, a couple",1
"you’re going be like, “Wow! That sounds cool, Magnus! Can I die in agony",0
"off from the creature’s head, using it as a springboard, turning in midair, and",1
DA!,0
"I was about to decide this guy was just a regular mortal, and I’d better run",1
"broken off, the tip splattered with dried blood.",1
closed!”,1
a dining area.”,1
"“I want to do that,” she sighed.",1
but I was running in slow motion. I knew I would be too late. I saw the eagle,1
like walking advertisements for the defunct theme park.,1
"“Yes,” Hades said with satisfaction. “I took her. I knew, Percy Jackson,",1
“Mr. Brunner!” I cried.,1
There was a system to how things worked. A kid could be safe as long as he,1
Yeah. You could say that.,1
"huge neon flower, the petals lighting up and blinking. No one was going in or",1
something this weird.,1
the mud. The roof had cracked open like an eggshell and rain was pouring in.,1
"the poker table, and take out what was inside. I could start my very own",1
"The evening before my final, I got so frustrated I threw the Cambridge Guide",1
"Then, through the gloom, I saw her—a woman the color of the water, a",1
“You’ll see. Capture the flag is Friday night. Do you have your own,1
somebody had been spitting on it in their spare time. The antelope had a,1
Underworld to decorate Hades and Persephone’s garden. According to one,1
and taking him to the Upper East Side. If he’d wanted to see my mom all,1
"upstate. I convinced the other Latin teacher to…ah, take a leave of absence.”",1
cameras.,1
You’re lucky you live with your momma. Annabeth stacked another,0
Nobody else seemed to notice. Some of the guys were pelting pigeons,1
I figured Luke didn’t mean to call me a nobody. He just had a lot on his,1
I laughed. “You? An architect?”,1
I waded toward Riptide and grabbed it by the hilt. The Chimera might,1
The Chimera was now so tall its back rubbed against the roof. It had the,1
"“That’s it.” I started to get up, but Grover pulled me back to my seat.",1
Groovy?,1
"She rolled her eyes and mumbled under her breath, “I can’t believe I",1
The air shimmered behind Chiron.,1
"these friends would never do that. They had done nothing but save me, over",1
feeling he was trying to make up for what had happened in St. Louis.,1
"“Oh, yuck,” Grover said. His eyes were still tightly closed, but I guess he",1
"“What better peace offering,” Chiron said, “than to have the son of",1
"Poseidon shook his head. “From time to time, over the eons, Kronos has",1
“When?”,1
"if the gods had started fighting. A couple of times since, I’ve overheard satyrs",1
"Chiron looked away quickly. “Let’s move along, shall we?”",1
“I’m a goat from the waist down.”,1
"Grover tried to get up, but ropes sprang from his black-satin bed, too, and",1
"lace gloves, and a shapeless orange-knit hat that shadowed her face, and she",1
with a burst of green light and a gust of fresh sea wind. I was encased in a,1
"getting heavier, my full stomach making me sleepy. Poor old lady. Who",1
"She wouldn’t meet my eyes. “We’ll talk this afternoon, dear. I’ll",1
horrible death. Cleaning harpies will begin work at sundown. They,1
"But instead, Cerberus licked his three sets of lips, shifted on his haunches,",1
"I tried to wrap my mind around what was happening, but I couldn’t do it.",1
"Before I could jab him in the ribs, Aunty Em said, “No, no, children. No",1
"black, with a sea-green trident shimmering in the center.",1
figure out where we are soon enough.”,1
lights down the aisle. It was eerily quiet without the sound of the rain.,1
made my Top Ten Things to Wish For list.,1
"“Yes, it is,” I promised. “You want me take it out and—”",1
"fledged war would look like, Percy?”",1
“Because I know you. You wouldn’t be here if you weren’t one of us.”,1
called: “Percy Jackson.”,1
"“Suspecting and knowing are not the same,” Chiron said. “Besides, even",1
know why he should be so afraid of a pudgy little man in a tiger-print,1
"“Taken together, it’s almost a sure sign. The letters float off the page",1
"“Please, dear,” my mother begged. “This is hard enough. Try to",1
told her it seemed a shame not to bury her in it. She punched me and told me,1
"Clarisse’s friends were all laughing, and I was trying to find the strength",1
"I saw Grover sitting at table twelve with Mr. D, a few satyrs, and a couple",1
the top of the climbing wall for the first time without getting scorched by,1
"“I’ll bring you another ball soon,” Annabeth promised faintly. “Would",1
winter. Somebody should help that poor boy!,0
"Unless someone intervenes, unless the master bolt is found and returned to",1
Luke wiped the sweat off his brow. He appraised me with an entirely new,1
expression told me there could be no more discussion; he had said as much as,1
"He lounged on his throne of fused human bones, looking lithe, graceful, and",1
"couches, people standing up, people staring out the windows or waiting for",1
"realized I’d been played with. Zeus, Poseidon, and Hades had been set at",1
"With each word, I stacked another gold coin on the counter.",1
"Just as Maurice was poking his head back inside to check out the noise,",1
year.,1
She pulled a marshmallow from the fire.,1
for it?”,1
Friday night.”,1
"there were a problem, I’m sure we would’ve heard from…from camp.…”",1
around a cluster of cabins nestled in the woods. Some shot targets at an,1
What friend would betray me? I didn’t have that many.,1
"Been here two weeks, and the games keep getting better and better.”",1
buddies. The television blared ESPN. Chips and beer cans were strewn all,1
“What would you do if it was your dad?”,1
"“I don’t believe it,” Annabeth said. “We went all that way—”",1
it.,0
"shoes. A Waterland backpack was slung over her shoulder, obviously stuffed",1
"point against chalk, to run to the board and name every Greek and Roman",1
"more,” Zeus said. “I must go personally to purify this thunderbolt in the",1
toward the Mississippi River.,1
"“Okay, I’m sorry.” I took a deep breath. “I’m going down there.”",1
"“That’s not an easy quest,” I said. “Hercules did it.”",1
"powder, vaporized on the spot, leaving nothing but the smell of sulfur and a",1
reminded me of Ares. It wasn’t enough for L.A. to be big; it had to prove it,1
There was no storm. No monster.,1
flickering between her teeth.,1
"very nose. He immediately blamed Poseidon. Now, a god cannot usurp",1
"“Lord Hades, wait,” I said. “This is all a mistake.”",1
"“It was a trick,” I said. “A strategy worthy of Athena.”",1
"We spent two days on the Amtrak train, heading west through hills, over",1
want to give you a little demo.”,1
“Yeah. Three judges. They switch around who sits on the bench. King,1
"stall farthest from the street, keeping our eyes open for patrol cars. We were",1
Not a moment too soon.,1
"Annabeth, Grover, and I tried to blend into the crowd, keeping an eye out",1
"“Underground,” he said distastefully. “Underground air always smells like",1
My mind was reeling. How could I not go to camp? I wanted to ask a,1
thinking about how much I drooled.,1
"“Look, do you want her turning more innocent people into statues?”",1
